blue,green,groupId,received,red,sensorId,time1,time2,white
4.65029761905E-4,6.04538690476E-4,0,1467398528630,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398528631,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398528631,6.97544642857E-4,2,42,16,0.00225539434524
6.97544642857E-4,0.00102306547619,0,1467398528631,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398528631,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398528631,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398528631,5.3478422619E-4,6,42,16,0.00165085565476
7.44047619048E-4,9.53311011905E-4,0,1467398528631,9.06808035714E-4,7,42,16,0.00279017857143
7.20796130952E-4,0.00104631696429,1,1467398528631,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398528631,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398528631,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398528632,9.3005952381E-4,3,42,16,0.00276692708333
4.65029761905E-4,6.04538690476E-4,0,1467398528632,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398528632,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398528632,6.97544642857E-4,2,42,16,0.00225539434524
6.97544642857E-4,0.00102306547619,0,1467398528734,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398528734,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398528735,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398528735,5.3478422619E-4,6,42,16,0.00165085565476
7.44047619048E-4,9.53311011905E-4,0,1467398528735,9.06808035714E-4,7,42,16,0.00279017857143
7.20796130952E-4,0.00104631696429,1,1467398528735,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398528735,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398528735,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398528735,9.3005952381E-4,3,42,16,0.00276692708333
4.65029761905E-4,6.04538690476E-4,0,1467398528736,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398528736,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398528736,6.97544642857E-4,2,42,16,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398528736,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398528736,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398528736,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398528841,5.3478422619E-4,6,42,16,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398528841,9.06808035714E-4,7,42,16,0.00279017857143
7.20796130952E-4,0.00104631696429,1,1467398528841,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398528842,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398528842,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398528842,9.3005952381E-4,3,42,16,0.00276692708333
4.65029761905E-4,6.04538690476E-4,0,1467398528843,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398528843,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398528843,6.97544642857E-4,2,42,16,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398528843,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398528843,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398528843,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398528843,5.3478422619E-4,6,42,16,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398528843,9.06808035714E-4,7,42,16,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398528843,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398528947,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398528947,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398528948,9.3005952381E-4,3,42,16,0.00276692708333
4.65029761905E-4,6.04538690476E-4,0,1467398528948,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398528948,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398528948,6.97544642857E-4,2,42,16,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398528948,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398528948,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398528948,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398528948,5.3478422619E-4,6,42,16,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398528948,9.06808035714E-4,7,42,16,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398528948,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398528948,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398528948,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398528948,9.3005952381E-4,3,42,16,0.00276692708333
4.65029761905E-4,6.04538690476E-4,0,1467398529128,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398529128,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398529129,6.97544642857E-4,2,42,16,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398529129,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398529130,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398529130,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398529130,5.3478422619E-4,6,42,16,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398529130,9.06808035714E-4,7,42,16,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398529130,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398529130,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398529131,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398529131,9.3005952381E-4,3,42,16,0.00276692708333
4.65029761905E-4,6.04538690476E-4,0,1467398529131,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398529131,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398529131,6.97544642857E-4,2,42,16,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398529234,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398529234,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398529234,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398529235,5.3478422619E-4,6,42,16,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398529235,9.06808035714E-4,7,42,16,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398529235,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398529235,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398529235,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398529236,9.3005952381E-4,3,42,16,0.00274367559524
4.65029761905E-4,6.04538690476E-4,0,1467398529236,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398529414,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398529414,6.97544642857E-4,2,42,16,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398529414,8.60305059524E-4,3,42,16,0.00272042410714
6.74293154762E-4,9.99813988095E-4,0,1467398529414,8.60305059524E-4,4,42,16,0.00267392113095
4.65029761905E-4,6.74293154762E-4,0,1467398529415,5.81287202381E-4,5,42,16,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398529415,5.3478422619E-4,6,42,16,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398529415,9.06808035714E-4,7,42,16,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398529415,9.765625E-4,0,42,16,0.0029296875
4.4177827381E-4,5.81287202381E-4,1,1467398529415,5.58035714286E-4,1,42,16,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398529415,6.04538690476E-4,2,42,16,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398529415,9.3005952381E-4,3,42,16,0.00274367559524
4.65029761905E-4,6.04538690476E-4,0,1467398529415,5.11532738095E-4,0,42,16,0.00160435267857
7.44047619048E-4,0.00109281994048,0,1467398529415,9.765625E-4,1,42,16,0.0029529389881
5.3478422619E-4,7.20796130952E-4,0,1467398529415,6.97544642857E-4,2,42,16,0.00223214285714
