blue,green,groupId,received,red,sensorId,time1,time2,white
6.04538690476E-4,9.06808035714E-4,1,1467408418305,8.83556547619E-4,3,27,5,0.00258091517857
3.95275297619E-4,5.3478422619E-4,0,1467408418305,4.4177827381E-4,0,27,5,0.00141834077381
6.74293154762E-4,9.99813988095E-4,0,1467408418305,9.06808035714E-4,1,27,5,0.00272042410714
4.8828125E-4,6.74293154762E-4,0,1467408418305,6.51041666667E-4,2,27,5,0.00206938244048
6.27790178571E-4,9.53311011905E-4,0,1467408418306,8.13802083333E-4,3,27,5,0.00251116071429
6.27790178571E-4,9.3005952381E-4,0,1467408418306,8.13802083333E-4,4,27,5,0.0024646577381
4.18526785714E-4,6.04538690476E-4,0,1467408418306,5.3478422619E-4,5,27,5,0.00160435267857
3.95275297619E-4,5.58035714286E-4,0,1467408418306,4.8828125E-4,6,27,5,0.0014880952381
6.27790178571E-4,8.37053571429E-4,0,1467408418306,7.90550595238E-4,7,27,5,0.0024181547619
6.51041666667E-4,9.765625E-4,1,1467408418306,9.06808035714E-4,0,27,5,0.00272042410714
3.72023809524E-4,5.11532738095E-4,1,1467408418306,4.65029761905E-4,1,27,5,0.00151134672619
4.18526785714E-4,5.58035714286E-4,1,1467408418306,5.58035714286E-4,2,27,5,0.00172061011905
6.04538690476E-4,9.06808035714E-4,1,1467408418306,8.83556547619E-4,3,27,5,0.00258091517857
3.95275297619E-4,5.3478422619E-4,0,1467408418306,4.4177827381E-4,0,27,5,0.00141834077381
6.74293154762E-4,9.99813988095E-4,0,1467408418306,9.06808035714E-4,1,27,5,0.00272042410714
4.8828125E-4,6.74293154762E-4,0,1467408418409,6.51041666667E-4,2,27,5,0.00206938244048
6.51041666667E-4,9.53311011905E-4,0,1467408418409,8.13802083333E-4,3,27,5,0.00251116071429
6.27790178571E-4,9.3005952381E-4,0,1467408418410,8.13802083333E-4,4,27,5,0.0024646577381
4.18526785714E-4,6.04538690476E-4,0,1467408418410,5.3478422619E-4,5,27,5,0.00160435267857
3.95275297619E-4,5.58035714286E-4,0,1467408418411,4.8828125E-4,6,27,5,0.0014880952381
6.27790178571E-4,8.37053571429E-4,0,1467408418411,7.90550595238E-4,7,27,5,0.0024181547619
6.51041666667E-4,9.765625E-4,1,1467408418411,9.06808035714E-4,0,27,5,0.00272042410714
3.72023809524E-4,5.11532738095E-4,1,1467408418411,4.65029761905E-4,1,27,5,0.00151134672619
4.18526785714E-4,5.58035714286E-4,1,1467408418412,5.58035714286E-4,2,27,5,0.00172061011905
6.04538690476E-4,9.06808035714E-4,1,1467408418412,8.83556547619E-4,3,27,5,0.00258091517857
3.95275297619E-4,5.3478422619E-4,0,1467408418412,4.4177827381E-4,0,27,5,0.00141834077381
6.74293154762E-4,9.99813988095E-4,0,1467408418412,9.06808035714E-4,1,27,5,0.00272042410714
4.8828125E-4,6.74293154762E-4,0,1467408418412,6.51041666667E-4,2,27,5,0.00206938244048
6.51041666667E-4,9.53311011905E-4,0,1467408418412,8.13802083333E-4,3,27,5,0.00251116071429
6.27790178571E-4,9.3005952381E-4,0,1467408418413,7.90550595238E-4,4,27,5,0.0024646577381
4.18526785714E-4,6.04538690476E-4,0,1467408418518,5.3478422619E-4,5,27,5,0.00160435267857
3.95275297619E-4,5.58035714286E-4,0,1467408418518,4.8828125E-4,6,27,5,0.0014880952381
6.27790178571E-4,8.37053571429E-4,0,1467408418518,7.90550595238E-4,7,27,5,0.0024181547619
6.51041666667E-4,9.765625E-4,1,1467408418518,9.06808035714E-4,0,27,5,0.00272042410714
3.72023809524E-4,5.11532738095E-4,1,1467408418518,4.65029761905E-4,1,27,5,0.00151134672619
4.18526785714E-4,5.58035714286E-4,1,1467408418518,5.58035714286E-4,2,27,5,0.00172061011905
6.04538690476E-4,9.06808035714E-4,1,1467408418518,8.83556547619E-4,3,27,5,0.00258091517857
3.95275297619E-4,5.3478422619E-4,0,1467408418518,4.4177827381E-4,0,27,5,0.00141834077381
