blue,green,groupId,received,red,sensorId,time1,time2,white
4.65029761905E-4,6.51041666667E-4,0,1467398482740,5.81287202381E-4,5,41,29,0.00176711309524
4.4177827381E-4,6.27790178571E-4,0,1467398482986,5.3478422619E-4,6,41,29,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398483121,9.06808035714E-4,7,41,29,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398483209,9.53311011905E-4,0,41,29,0.0029064360119
4.4177827381E-4,5.81287202381E-4,1,1467398483238,5.58035714286E-4,1,41,29,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398483274,6.04538690476E-4,2,41,29,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398483351,9.3005952381E-4,3,41,29,0.00274367559524
4.65029761905E-4,6.04538690476E-4,0,1467398483351,5.11532738095E-4,0,41,30,0.00158110119048
7.44047619048E-4,0.00109281994048,0,1467398483351,9.765625E-4,1,41,30,0.0029296875
5.3478422619E-4,7.20796130952E-4,0,1467398483351,6.97544642857E-4,2,41,30,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398483351,8.60305059524E-4,3,41,30,0.00269717261905
6.74293154762E-4,9.99813988095E-4,0,1467398483351,8.60305059524E-4,4,41,30,0.00265066964286
4.65029761905E-4,6.51041666667E-4,0,1467398483351,5.81287202381E-4,5,41,30,0.00174386160714
4.4177827381E-4,6.27790178571E-4,0,1467398483351,5.3478422619E-4,6,41,30,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398483351,9.06808035714E-4,7,41,30,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398483352,9.53311011905E-4,0,41,30,0.0029064360119
4.4177827381E-4,5.81287202381E-4,1,1467398483352,5.3478422619E-4,1,41,30,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398483352,6.04538690476E-4,2,41,30,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398483352,9.3005952381E-4,3,41,30,0.00274367559524
4.65029761905E-4,6.04538690476E-4,0,1467398483352,5.11532738095E-4,0,41,30,0.00158110119048
7.44047619048E-4,0.00109281994048,0,1467398483352,9.765625E-4,1,41,30,0.0029296875
5.3478422619E-4,7.20796130952E-4,0,1467398483352,6.97544642857E-4,2,41,30,0.00223214285714
6.97544642857E-4,0.00102306547619,0,1467398483353,8.60305059524E-4,3,41,30,0.00269717261905
6.74293154762E-4,9.99813988095E-4,0,1467398483353,8.60305059524E-4,4,41,30,0.00265066964286
4.65029761905E-4,6.51041666667E-4,0,1467398483354,5.81287202381E-4,5,41,30,0.00174386160714
4.4177827381E-4,6.27790178571E-4,0,1467398483354,5.3478422619E-4,6,41,30,0.00162760416667
7.44047619048E-4,9.53311011905E-4,0,1467398483354,9.06808035714E-4,7,41,30,0.00276692708333
7.20796130952E-4,0.00104631696429,1,1467398483356,9.53311011905E-4,0,41,30,0.0029064360119
4.4177827381E-4,5.81287202381E-4,1,1467398483356,5.3478422619E-4,1,41,30,0.00167410714286
4.4177827381E-4,6.04538690476E-4,1,1467398483358,6.04538690476E-4,2,41,30,0.00183686755952
6.51041666667E-4,9.765625E-4,1,1467398483358,9.3005952381E-4,3,41,30,0.00274367559524
4.65029761905E-4,6.04538690476E-4,0,1467398483358,5.11532738095E-4,0,41,30,0.00158110119048
7.44047619048E-4,0.00109281994048,0,1467398483358,9.765625E-4,1,41,30,0.0029296875
